trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.98, 'e': 0.08676711527143822}",25,11,24.96119872700155,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.98, 'e': 0.08503177296600946}",25,16,10.733884412879474,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.98, 'e': 0.08333113750668926}",35,9,-17.973719816860402,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 1}",1
124,False,"{'a': 0.98, 'e': 0.08166451475655548}",20,8,22.584573052957833,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.98, 'e': 0.08003122446142437}",35,21,16.668772913256817,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.98, 'e': 0.07843059997219588}",25,10,14.19799437059994,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.98, 'e': 0.07686198797275196}",30,10,28.588101917322433,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.98, 'e': 0.07532474821329692}",25,11,8.781729494195316,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.98, 'e': 0.07381825324903098}",25,11,27.26488442574161,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.98, 'e': 0.07234188818405035}",20,12,8.997552717525808,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.98, 'e': 0.07089505042036935}",20,2,12.147071527660998,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.98, 'e': 0.06947714941196197}",25,18,11.882655421459482,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.98, 'e': 0.06808760642372272}",20,7,24.790639161328286,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.98, 'e': 0.06672585429524826}",25,13,-18.268662183935042,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
